name, surname, ageInYears
BARTŁOMIEJ,BARTŁOMIEJ_185,20
MIKOŁAJ,MIKOŁAJ_91,21
LESZEK,LESZEK_122,1
WALDEMAR,WALDEMAR_122,38
KRYSTIAN,KRYSTIAN_115,32
WIKTOR,WIKTOR_29,29
ZDZISŁAW,ZDZISŁAW_147,32
RADOSŁAW,RADOSŁAW_97,13
BOGDAN,BOGDAN_107,24
KONRAD,KONRAD_81,36
EDWARD,EDWARD_169,17
MIECZYSŁAW,MIECZYSŁAW_157,23
HUBERT,HUBERT_103,18
WŁADYSŁAW,WŁADYSŁAW_180,7
IGOR,IGOR_60,4
CZESŁAW,CZESŁAW_72,6
OSKAR,OSKAR_84,3
EUGENIUSZ,EUGENIUSZ_15,30
MARCEL,MARCEL_68,7
BOGUSŁAW,BOGUSŁAW_41,0
STEFAN,STEFAN_48,38
IRENEUSZ,IRENEUSZ_158,40
MAKSYMILIAN,MAKSYMILIAN_35,6
ZYGMUNT,ZYGMUNT_164,12
MIŁOSZ,MIŁOSZ_150,34
WITOLD,WITOLD_91,19
SYLWESTER,SYLWESTER_99,18
OLEKSANDR,OLEKSANDR_90,12
WŁODZIMIERZ,WŁODZIMIERZ_193,14
OLIWIER,OLIWIER_1,36
ALAN,ALAN_194,32
NIKODEM,NIKODEM_30,21
ZENON,ZENON_195,26
LEON,LEON_94,26
CEZARY,CEZARY_177,1
NORBERT,NORBERT_113,6
GABRIEL,GABRIEL_160,32
JULIAN,JULIAN_45,40
SERHII,SERHII_88,14
IGNACY,IGNACY_75,8
BŁAŻEJ,BŁAŻEJ_199,40
ANDRII,ANDRII_82,7
FABIAN,FABIAN_155,4
TYMOTEUSZ,TYMOTEUSZ_144,24
VOLODYMYR,VOLODYMYR_18,9
TYMON,TYMON_121,29
ERYK,ERYK_2,3
EMIL,EMIL_22,10
BRONISŁAW,BRONISŁAW_87,4
LECH,LECH_187,21
WACŁAW,WACŁAW_105,30
DMYTRO,DMYTRO_111,11
BOLESŁAW,BOLESŁAW_167,31
IVAN,IVAN_78,13
MYKOLA,MYKOLA_6,11
KSAWERY,KSAWERY_162,40
NATAN,NATAN_172,17
VITALII,VITALII_9,30
BERNARD,BERNARD_20,9
REMIGIUSZ,REMIGIUSZ_194,14
IHOR,IHOR_118,5
VASYL,VASYL_84,14
EDMUND,EDMUND_124,41
OLAF,OLAF_161,33
YURII,YURII_24,5
BORYS,BORYS_175,20
MAKSYM,MAKSYM_110,30
KAJETAN,KAJETAN_122,18
OLEH,OLEH_118,6
LUCJAN,LUCJAN_186,5
ROMUALD,ROMUALD_98,23
KUBA,KUBA_134,27
VIKTOR,VIKTOR_4,6
MYKHAILO,MYKHAILO_188,34
ALBERT,ALBERT_140,39
TOBIASZ,TOBIASZ_160,13
GRACJAN,GRACJAN_106,31
SZCZEPAN,SZCZEPAN_175,22
SEWERYN,SEWERYN_129,5
ALFRED,ALFRED_48,15
BRUNO,BRUNO_40,40
BOHDAN,BOHDAN_43,30
LUDWIK,LUDWIK_116,7
JOACHIM,JOACHIM_88,24
VLADYSLAV,VLADYSLAV_172,24
LESŁAW,LESŁAW_61,35
ERNEST,ERNEST_187,37
KORNEL,KORNEL_190,16
BOGUMIŁ,BOGUMIŁ_175,39
OLIVIER,OLIVIER_4,6
OLEKSII,OLEKSII_156,17
GERARD,GERARD_71,17
RUSLAN,RUSLAN_195,15
ALEXANDER,ALEXANDER_186,19
JĘDRZEJ,JĘDRZEJ_198,24
FELIKS,FELIKS_145,8
ALEX,ALEX_178,12
ALOJZY,ALOJZY_116,23
DAVID,DAVID_96,14
LEONARD,LEONARD_187,17
JULIUSZ,JULIUSZ_38,35
PAVLO,PAVLO_125,20
KLAUDIUSZ,KLAUDIUSZ_32,29
DENYS,DENYS_163,16
ANATOLII,ANATOLII_153,23
ARTEM,ARTEM_196,40
VADYM,VADYM_191,23
ALEKS,ALEKS_102,2
DORIAN,DORIAN_101,12
YAROSLAV,YAROSLAV_51,12
BENEDYKT,BENEDYKT_177,1
PETRO,PETRO_86,24
TEODOR,TEODOR_114,17
OLIVER,OLIVER_195,31
MARTIN,MARTIN_77,27
RAJMUND,RAJMUND_3,27
NATANIEL,NATANIEL_40,24
YEVHEN,YEVHEN_188,8
CYPRIAN,CYPRIAN_157,16
KONSTANTY,KONSTANTY_104,40
DENIS,DENIS_159,19
GUSTAW,GUSTAW_7,27
VALERII,VALERII_99,22
MICHAEL,MICHAEL_115,34
ALIAKSANDR,ALIAKSANDR_100,33
BRAJAN,BRAJAN_7,34
RUDOLF,RUDOLF_173,3
YEVHENII,YEVHENII_180,22
ANTON,ANTON_96,7
TARAS,TARAS_124,8
SAMUEL,SAMUEL_129,30
MIESZKO,MIESZKO_35,12
ANDREI,ANDREI_128,24
MILAN,MILAN_70,18
HIERONIM,HIERONIM_175,33
FLORIAN,FLORIAN_25,22
MARCELI,MARCELI_111,20
WINCENTY,WINCENTY_166,6
KEVIN,KEVIN_59,27
IWO,IWO_120,15
ZYGFRYD,ZYGFRYD_149,15
VIACHESLAV,VIACHESLAV_11,19
ERWIN,ERWIN_162,37
ARIEL,ARIEL_105,36
OLEG,OLEG_112,24
FRYDERYK,FRYDERYK_16,18
STANISLAV,STANISLAV_167,33
ALEKSY,ALEKSY_179,9
BENIAMIN,BENIAMIN_33,5
KORDIAN,KORDIAN_156,36
SIARHEI,SIARHEI_195,38
ROLAND,ROLAND_55,26
SERGIUSZ,SERGIUSZ_25,13
KOSTIANTYN,KOSTIANTYN_172,15
JEREMI,JEREMI_75,30
WALENTY,WALENTY_85,38
SERGII,SERGII_122,14
AMADEUSZ,AMADEUSZ_27,16
OLGIERD,OLGIERD_141,12
PATRICK,PATRICK_145,35
MAXIMILIAN,MAXIMILIAN_14,36
DZMITRY,DZMITRY_14,21
AUGUSTYN,AUGUSTYN_76,20
STEPAN,STEPAN_30,31
BRUNON,BRUNON_73,24
THOMAS,THOMAS_82,26
ADOLF,ADOLF_184,37
EMILIAN,EMILIAN_45,19
VALENTYN,VALENTYN_194,2
KEWIN,KEWIN_48,34
VICTOR,VICTOR_98,34
LEOPOLD,LEOPOLD_162,11
OSCAR,OSCAR_72,6
NICOLAS,NICOLAS_84,13
NAZAR,NAZAR_158,16
OLIWER,OLIWER_31,37
HERBERT,HERBERT_165,0
ARNOLD,ARNOLD_162,14
ILLIA,ILLIA_116,27
ALBIN,ALBIN_193,28
ANDRIY,ANDRIY_127,28
MAURYCY,MAURYCY_21,39
ALFONS,ALFONS_136,1
EDUARD,EDUARD_140,33
WILHELM,WILHELM_76,31
PETER,PETER_126,32
PAVEL,PAVEL_159,13
ANATOL,ANATOL_65,35
LEO,LEO_165,22
MARK,MARK_11,21
OKTAWIAN,OKTAWIAN_57,2
HELMUT,HELMUT_10,10
LEONID,LEONID_2,32
JEREMIASZ,JEREMIASZ_143,19
WALTER,WALTER_180,13
EMANUEL,EMANUEL_52,31
MANFRED,MANFRED_147,7
KORNELIUSZ,KORNELIUSZ_153,33
EDWIN,EDWIN_164,40
GINTER,GINTER_4,4
JONASZ,JONASZ_167,10
NATHAN,NATHAN_141,40
CHRISTIAN,CHRISTIAN_82,11
TEOFIL,TEOFIL_116,1
WERNER,WERNER_41,21
KRYSPIN,KRYSPIN_163,13
BENJAMIN,BENJAMIN_197,14
JONATAN,JONATAN_80,39
KASPER,KASPER_9,24
XAVIER,XAVIER_183,30
ZIEMOWIT,ZIEMOWIT_42,17
IURII,IURII_21,26
JACOB,JACOB_65,23
ROSTYSLAV,ROSTYSLAV_63,18
NIKOLAS,NIKOLAS_14,8
WALERIAN,WALERIAN_8,36
MAX,MAX_178,33
YURIY,YURIY_116,20
ALIAKSEI,ALIAKSEI_89,20
LECHOSŁAW,LECHOSŁAW_81,16
TYTUS,TYTUS_90,0
HUGO,HUGO_162,32
PAUL,PAUL_90,30
ARON,ARON_108,11
MIRON,MIRON_141,35
VITALI,VITALI_140,0
YURY,YURY_111,22
ULADZIMIR,ULADZIMIR_194,0
PATRYCJUSZ,PATRYCJUSZ_69,12
DANYLO,DANYLO_48,
KSAWIER,KSAWIER_165,20
KLEMENS,KLEMENS_192,12
MAKSIM,MAKSIM_94,36
MATTHEW,MATTHEW_115,35
MYKYTA,MYKYTA_31,2
PHILIP,PHILIP_24,29
HENNADII,HENNADII_59,23
NAZARII,NAZARII_163,4
YAUHENI,YAUHENI_59,7
ANDREAS,ANDREAS_30,37
LONGIN,LONGIN_45,39
FERDYNAND,FERDYNAND_15,10
GIORGI,GIORGI_131,9
KYRYLO,KYRYLO_191,19
CHRISTOPHER,CHRISTOPHER_99,25
WAWRZYNIEC,WAWRZYNIEC_137,27
HORST,HORST_143,0
ANTHONY,ANTHONY_80,39
JOHN,JOHN_19,38
JACENTY,JACENTY_136,29
MYKHAYLO,MYKHAYLO_109,25
MIKHAIL,MIKHAIL_41,36
ELIASZ,ELIASZ_122,11
MARCO,MARCO_130,24
VIKTAR,VIKTAR_29,18
ION,ION_120,3
IHAR,IHAR_135,36
ALEH,ALEH_33,17
KASJAN,KASJAN_123,9
SIMON,SIMON_193,25
MAKS,MAKS_199,11
RAFAEL,RAFAEL_61,25
DIONIZY,DIONIZY_2,32
ROCH,ROCH_72,2
IZYDOR,IZYDOR_125,5
HRYHORII,HRYHORII_10,37
MOHAMED,MOHAMED_107,35
ŁUCJAN,ŁUCJAN_180,39
JAROMIR,JAROMIR_118,9
VLADIMIR,VLADIMIR_24,18
VITALIY,VITALIY_178,19
BRIAN,BRIAN_186,31
ALI,ALI_151,38
ELIGIUSZ,ELIGIUSZ_113,10
GERHARD,GERHARD_37,0
VINCENT,VINCENT_26,15
SERHIY,SERHIY_144,17
JONATHAN,JONATHAN_23,20
EWALD,EWALD_180,39
NICHOLAS,NICHOLAS_109,14
MIKALAI,MIKALAI_148,8
NIKITA,NIKITA_167,37
YEHOR,YEHOR_33,25
ANTONIO,ANTONIO_130,12
KOSMA,KOSMA_181,26
RICHARD,RICHARD_80,8
DANIIL,DANIIL_130,36
RADOMIR,RADOMIR_198,37
WILLIAM,WILLIAM_17,26
OREST,OREST_129,4
MYROSLAV,MYROSLAV_78,18
ULADZISLAU,ULADZISLAU_60,40
DENNIS,DENNIS_135,2
WIT,WIT_56,22
ZBYSŁAW,ZBYSŁAW_60,24
LUKAS,LUKAS_172,33
ALEKSANDR,ALEKSANDR_140,1
BAZYLI,BAZYLI_173,40
ROGER,ROGER_27,11
VALERY,VALERY_170,35
LUCAS,LUCAS_139,32
MARKUS,MARKUS_1,40
LEONARDO,LEONARDO_120,23
ERIC,ERIC_55,36
SVIATOSLAV,SVIATOSLAV_124,10
DZIANIS,DZIANIS_187,20
JAMES,JAMES_79,35
ANDREW,ANDREW_72,13
AARON,AARON_72,40
SERGHEI,SERGHEI_63,21
JORDAN,JORDAN_80,2
FRANK,FRANK_168,7
LIUBOMYR,LIUBOMYR_171,18
MARIO,MARIO_70,3
PASCAL,PASCAL_39,35
DIEGO,DIEGO_68,26
DOMINIC,DOMINIC_27,41
AHMED,AHMED_134,17
AUGUST,AUGUST_101,8
SERGIY,SERGIY_98,13
ARTHUR,ARTHUR_40,25
ERIK,ERIK_155,36
BONIFACY,BONIFACY_27,0
BRAYAN,BRAYAN_50,9
MIHAIL,MIHAIL_75,13
ALEXANDR,ALEXANDR_87,20
VADZIM,VADZIM_48,24
RAMAN,RAMAN_18,40
CYRYL,CYRYL_80,9
KLAUS,KLAUS_123,40
ZBYSZEK,ZBYSZEK_97,5
CARLOS,CARLOS_200,6
WOLFGANG,WOLFGANG_58,7
JOSEPH,JOSEPH_127,18
BOGUSZ,BOGUSZ_95,38
ANATOLI,ANATOLI_158,9
ALLAN,ALLAN_7,31
FRANCESCO,FRANCESCO_50,33
MATTEO,MATTEO_199,16
MARKO,MARKO_180,11
JUAN,JUAN_168,34
LUCA,LUCA_124,9
BRYAN,BRYAN_52,8
MAXIM,MAXIM_153,27
DAVYD,DAVYD_122,39
ALESSANDRO,ALESSANDRO_113,15
ALEXANDRU,ALEXANDRU_138,14
IVO,IVO_154,9
NATHANIEL,NATHANIEL_88,25
DONAT,DONAT_48,34
DYMITR,DYMITR_38,14
JOSE,JOSE_6,0
YAN,YAN_151,12
ALEXANDRE,ALEXANDRE_170,21
EDGAR,EDGAR_129,32
FEDIR,FEDIR_92,13
AMIR,AMIR_197,3
MANUEL,MANUEL_45,39
ARTSIOM,ARTSIOM_77,18
LIAM,LIAM_80,10
MEHMET,MEHMET_107,7
LUBOMIR,LUBOMIR_54,19
LUIS,LUIS_75,21
JOSHUA,JOSHUA_23,18
KURT,KURT_40,4
ILYA,ILYA_145,2
JAKOB,JAKOB_57,39
OMAR,OMAR_168,40
RYAN,RYAN_134,37
ANATOLIY,ANATOLIY_90,28
GNIEWOMIR,GNIEWOMIR_21,22
HERONIM,HERONIM_2,4
AURELIUSZ,AURELIUSZ_20,26
VASILE,VASILE_199,3
DIETER,DIETER_101,19
MAXYMILIAN,MAXYMILIAN_105,19
IEVGEN,IEVGEN_112,22
ROBERTO,ROBERTO_59,22
NICOLAE,NICOLAE_94,39
KARIM,KARIM_158,
COLIN,COLIN_163,3
HANS,HANS_81,27
IAN,IAN_137,15
BENON,BENON_175,21
FELIX,FELIX_159,34
EUZEBIUSZ,EUZEBIUSZ_180,7
HERMAN,HERMAN_85,36
NOAH,NOAH_55,15
JUSTIN,JUSTIN_12,0
ARSEN,ARSEN_90,6
MATTHIAS,MATTHIAS_139,11
ANDREA,ANDREA_110,23
MUHAMMAD,MUHAMMAD_155,13
MUSTAFA,MUSTAFA_180,22
ZBYSZKO,ZBYSZKO_6,37
MOHAMMAD,MOHAMMAD_137,18
PHILIPP,PHILIPP_33,6
KAI,KAI_92,24
TYMOFII,TYMOFII_148,18
IAROSLAV,IAROSLAV_37,40
VADIM,VADIM_171,12
DAVIT,DAVIT_51,28
RICARDO,RICARDO_141,38
GEORGE,GEORGE_147,40
CRISTIAN,CRISTIAN_16,18
HENRY,HENRY_37,
ARMIN,ARMIN_101,15
CHRYSTIAN,CHRYSTIAN_72,15
VASILI,VASILI_27,9
TRISTAN,TRISTAN_26,37
ZACHARIASZ,ZACHARIASZ_13,32
VLADISLAV,VLADISLAV_12,23
KIRYL,KIRYL_144,8
HEORHII,HEORHII_180,38
BARTEK,BARTEK_38,32
PABLO,PABLO_36,16
SERGIU,SERGIU_11,8
ANGELO,ANGELO_169,23
MOHAMMED,MOHAMMED_25,7
MATVII,MATVII_4,37
VIACHASLAU,VIACHASLAU_170,39
TYMUR,TYMUR_148,19
MIKITA,MIKITA_161,19
GHEORGHE,GHEORGHE_23,16
HILARY,HILARY_63,35
RONALD,RONALD_19,10
ZACHARY,ZACHARY_174,38
GIUSEPPE,GIUSEPPE_197,3
MICHAL,MICHAL_7,40
DUMITRU,DUMITRU_5,0
KRISTIAN,KRISTIAN_92,3
SERGEY,SERGEY_56,3
HARALD,HARALD_68,25
JORGE,JORGE_17,16
NARCYZ,NARCYZ_163,19
JANUARY,JANUARY_198,4
REINHOLD,REINHOLD_102,22
TOBIAS,TOBIAS_134,5
DYLAN,DYLAN_95,35
TOM,TOM_85,14
ALEJANDRO,ALEJANDRO_91,41
RAJNOLD,RAJNOLD_97,11
SAMIR,SAMIR_149,34
IBRAHIM,IBRAHIM_26,1
GIOVANNI,GIOVANNI_185,18
RUBEN,RUBEN_68,15
AXEL,AXEL_120,22
ALBERTO,ALBERTO_43,22
MICHEL,MICHEL_80,39
MIGUEL,MIGUEL_68,31
IDZI,IDZI_138,14
IWAN,IWAN_158,23
JOEL,JOEL_197,0
KASPIAN,KASPIAN_134,24
CASPER,CASPER_3,26
BORIS,BORIS_46,34
SERGIO,SERGIO_129,11
CHRISTOPH,CHRISTOPH_189,14
FABIO,FABIO_21,26
STEVEN,STEVEN_31,21
VALERIY,VALERIY_95,24
CONSTANTIN,CONSTANTIN_141,41
KARL,KARL_78,41
MARCUS,MARCUS_125,39
WALERY,WALERY_113,22
JUSTYN,JUSTYN_85,6
MARC,MARC_68,26
GUY,GUY_86,25
JOSEF,JOSEF_144,5
SERGEI,SERGEI_191,26
ZENOBIUSZ,ZENOBIUSZ_104,
DMITRII,DMITRII_114,14
FERNANDO,FERNANDO_44,6
DAVIDE,DAVIDE_135,27
PATRIK,PATRIK_49,11
JEAN,JEAN_6,7
EDUARDO,EDUARDO_6,40
OLEKSIY,OLEKSIY_189,8
DAN,DAN_76,19
CEZARIUSZ,CEZARIUSZ_196,13
TYCJAN,TYCJAN_107,36
GEORG,GEORG_197,6
PEDRO,PEDRO_124,39
MIKE,MIKE_200,26
STANISLAU,STANISLAU_117,40
JURAND,JURAND_26,40
HENADZI,HENADZI_126,17
IRAKLI,IRAKLI_197,38
JUREK,JUREK_199,6
TOMAS,TOMAS_89,19
VALENTIN,VALENTIN_138,27
HEINZ,HEINZ_134,19
JOHANNES,JOHANNES_84,36
OTTO,OTTO_14,4
FRANCISCO,FRANCISCO_74,40
OSTAP,OSTAP_52,31
TIMOTHY,TIMOTHY_66,39
ENGELBERT,ENGELBERT_189,11
MYRON,MYRON_153,1
RUSTAM,RUSTAM_198,23
NICO,NICO_168,40
CHARLES,CHARLES_193,40
ETHAN,ETHAN_183,11
SERAFIN,SERAFIN_55,39
WIACZESŁAW,WIACZESŁAW_64,36
GNIEWKO,GNIEWKO_153,5
KRYSTYN,KRYSTYN_133,7
APOLINARY,APOLINARY_169,37
TIMUR,TIMUR_48,32
FEDERICO,FEDERICO_190,30
RAYAN,RAYAN_98,35
AHMET,AHMET_7,14
JASON,JASON_61,19
EWARYST,EWARYST_48,0
LOUIS,LOUIS_142,13
SYLWERIUSZ,SYLWERIUSZ_136,11
WIEŃCZYSŁAW,WIEŃCZYSŁAW_127,7
DITER,DITER_51,31
PHILIPPE,PHILIPPE_40,25
KRZESIMIR,KRZESIMIR_139,2
MICHELE,MICHELE_43,10
ANDREY,ANDREY_200,19
GWIDON,GWIDON_129,1
OKTAWIUSZ,OKTAWIUSZ_98,5
WITALIS,WITALIS_30,28
JACK,JACK_40,24
STEPHEN,STEPHEN_97,26
EMMANUEL,EMMANUEL_79,25
AMIT,AMIT_50,3
JURIJ,JURIJ_2,32
PAOLO,PAOLO_39,5
SAMBOR,SAMBOR_134,33
JAVIER,JAVIER_176,16
MAKARY,MAKARY_8,37
KONSTANTIN,KONSTANTIN_26,22
BASTIAN,BASTIAN_95,22
RAJNARD,RAJNARD_76,14
REINHARD,REINHARD_189,13
SANTIAGO,SANTIAGO_64,41
ISMAIL,ISMAIL_123,34
LORENZO,LORENZO_35,18
FELICJAN,FELICJAN_156,41
KANSTANTSIN,KANSTANTSIN_190,7
RUFIN,RUFIN_22,34
XAWERY,XAWERY_194,28
LUDOMIR,LUDOMIR_159,15
ROBIN,ROBIN_75,37
ILIA,ILIA_195,8
ZAKHAR,ZAKHAR_9,27
NICOLAI,NICOLAI_170,0
HIPOLIT,HIPOLIT_55,35
PHILLIP,PHILLIP_64,27
DMITRY,DMITRY_124,17
PETR,PETR_135,1
TYBERIUSZ,TYBERIUSZ_86,26
NOEL,NOEL_115,12
ARMEN,ARMEN_134,10
OSWALD,OSWALD_58,5
SEAN,SEAN_178,7
WITALIJ,WITALIJ_139,32
HASAN,HASAN_167,27
MARTYN,MARTYN_97,40
VITALIE,VITALIE_83,4
OMER,OMER_168,17
VEACESLAV,VEACESLAV_56,9
BRANDON,BRANDON_96,23
CLAUDIO,CLAUDIO_150,11
AHMAD,AHMAD_183,0
ALEKSEI,ALEKSEI_99,3
IEVGENII,IEVGENII_45,17
FRANEK,FRANEK_128,31
MARCELO,MARCELO_57,12
BEN,BEN_197,0
LUKA,LUKA_119,14
NORMAN,NORMAN_128,20
WADIM,WADIM_60,34
SVEN,SVEN_160,31
GREGORY,GREGORY_86,17
ELIAS,ELIAS_35,0
PETRU,PETRU_19,20
HLIB,HLIB_19,17
MIROSLAV,MIROSLAV_68,27
LARS,LARS_124,22
LEVAN,LEVAN_121,36
SIMONE,SIMONE_138,31
YAHOR,YAHOR_154,1
WASYL,WASYL_11,29
MURAT,MURAT_153,11
SEMEN,SEMEN_112,6
NIKO,NIKO_49,32
MAXIME,MAXIME_165,11
PIERRE,PIERRE_110,23
WINICJUSZ,WINICJUSZ_47,21
DANYIL,DANYIL_162,21
SYLWIUSZ,SYLWIUSZ_122,6
ANDRÉ,ANDRÉ_171,22
MAMUKA,MAMUKA_8,16
GEORGIOS,GEORGIOS_41,6
ARMAND,ARMAND_8,8
DENIZ,DENIZ_67,5
LEV,LEV_142,19
LASHA,LASHA_130,4
ALEXEY,ALEXEY_77,1
DOBROMIR,DOBROMIR_155,17
HARRY,HARRY_54,24
OLEKSANDER,OLEKSANDER_117,20
ZURAB,ZURAB_13,36
RAPHAEL,RAPHAEL_25,26
ALEXEI,ALEXEI_200,26
BAZYL,BAZYL_56,18
JOSÉ,JOSÉ_101,0
APOLONIUSZ,APOLONIUSZ_93,9
MEDARD,MEDARD_22,39
DMITRI,DMITRI_47,27
MARIUS,MARIUS_21,34
NIKOLAY,NIKOLAY_154,36
MATHIAS,MATHIAS_105,28
ROY,ROY_88,41
ABDUL,ABDUL_99,3
ARIAN,ARIAN_112,41
STEFANO,STEFANO_3,2
JEREMY,JEREMY_200,0
YAUHEN,YAUHEN_98,9
ALON,ALON_40,13
JÜRGEN,JÜRGEN_165,5
ZAZA,ZAZA_155,16
ANDRE,ANDRE_130,24
CONRAD,CONRAD_111,24
DASTIN,DASTIN_83,26
IURIE,IURIE_18,20
WINCENT,WINCENT_49,34
YUVAL,YUVAL_36,30
JONAS,JONAS_179,15
WITOSŁAW,WITOSŁAW_64,15
GABRIELE,GABRIELE_72,5
RODION,RODION_148,29
RICCARDO,RICCARDO_64,37
ANTOINE,ANTOINE_61,27
SAMI,SAMI_57,38
NATANAEL,NATANAEL_132,1
TOMER,TOMER_100,11
DMYTRII,DMYTRII_178,12
TIM,TIM_46,3
IDO,IDO_80,41
JAREMA,JAREMA_180,14
VALERIU,VALERIU_1,30
EMRE,EMRE_81,30
DANIELE,DANIELE_49,3
DARIO,DARIO_175,35
EYAL,EYAL_143,2
RALF,RALF_166,11
THEO,THEO_36,34
AMBROŻY,AMBROŻY_90,31
JOHANN,JOHANN_115,21
GENNADII,GENNADII_136,23
JENS,JENS_84,32
KAREN,KAREN_23,15
LEW,LEW_144,16
ALEKSANDAR,ALEKSANDAR_15,9
GILBERT,GILBERT_191,20
GOCHA,GOCHA_63,2
GREGOR,GREGOR_151,9
SIERGIEJ,SIERGIEJ_143,32
ABRAHAM,ABRAHAM_49,
MAKAR,MAKAR_43,36
RAUL,RAUL_160,3
GAWEŁ,GAWEŁ_53,0
NIKOLAI,NIKOLAI_188,36
MAHMOUD,MAHMOUD_76,6
TAL,TAL_97,18
LEANID,LEANID_155,29
MOSHE,MOSHE_119,36
RADEK,RADEK_146,27
ALEK,ALEK_170,37
MAGOMED,MAGOMED_188,24
VALIANTSIN,VALIANTSIN_109,13
DOBIESŁAW,DOBIESŁAW_92,0
ERICH,ERICH_19,22
KIRILL,KIRILL_129,18
ANATOLIE,ANATOLIE_131,38
GOTFRYD,GOTFRYD_50,32
TELESFOR,TELESFOR_105,5
VYACHESLAV,VYACHESLAV_31,31
GÜNTER,GÜNTER_167,9
RENE,RENE_3,28
GNIEWOSZ,GNIEWOSZ_97,12
SOBIESŁAW,SOBIESŁAW_25,3
TOMÁŠ,TOMÁŠ_7,15
CHRISTOPHE,CHRISTOPHE_103,15
KAJ,KAJ_28,25
TEO,TEO_113,22
MATEO,MATEO_113,41
RADZISŁAW,RADZISŁAW_88,39
VAN,VAN_45,15
NIKOLA,NIKOLA_198,19
PAULO,PAULO_190,23
SŁAWEK,SŁAWEK_43,41
CELESTYN,CELESTYN_77,1
NESTOR,NESTOR_166,30
GUSTAVO,GUSTAVO_140,21
BERND,BERND_150,5
BRAIAN,BRAIAN_26,26
MOHAMAD,MOHAMAD_63,28
UWE,UWE_137,36
ABDULLAH,ABDULLAH_195,5
GEORGI,GEORGI_195,0
ARSENII,ARSENII_105,0
DOBROSŁAW,DOBROSŁAW_128,24
ERHARD,ERHARD_148,3
LUIGI,LUIGI_156,24
NOAM,NOAM_155,40
YUSUF,YUSUF_115,11
FRANZ,FRANZ_42,33
ANTONY,ANTONY_135,24
ARKADII,ARKADII_135,14
YOAV,YOAV_91,20
NIKOLAOS,NIKOLAOS_15,
SALVATORE,SALVATORE_198,16
ANDRES,ANDRES_134,12
ARMAN,ARMAN_68,2
NICOLA,NICOLA_47,20
ALEKSANDRE,ALEKSANDRE_10,32
DAMAZY,DAMAZY_129,21
YEVGEN,YEVGEN_106,41
BERNHARD,BERNHARD_170,8
FELIPE,FELIPE_188,18
CHRISTOS,CHRISTOS_5,26
LUKE,LUKE_198,38
RODRIGO,RODRIGO_53,28
MODEST,MODEST_17,38
PASKAL,PASKAL_173,37
PIETRO,PIETRO_149,28
RAINER,RAINER_81,29
ITAY,ITAY_153,10
JULIEN,JULIEN_141,38
OLEK,OLEK_90,20
KIRIL,KIRIL_119,19
ENRICO,ENRICO_193,23
JOÃO,JOÃO_28,30
MASSIMO,MASSIMO_131,17
ISRAEL,ISRAEL_36,1
MATHIEU,MATHIEU_85,40
ANDREJ,ANDREJ_53,41
DIRK,DIRK_187,20
GORAN,GORAN_149,32
DARIUS,DARIUS_139,27
FRANCIS,FRANCIS_99,18
MARCOS,MARCOS_146,10
MARIN,MARIN_38,34
DIMITRIOS,DIMITRIOS_25,22
HASSAN,HASSAN_78,0
SANDRO,SANDRO_109,14
VIOREL,VIOREL_71,24
DAMIR,DAMIR_53,39
BOŻYDAR,BOŻYDAR_86,6
MATIAS,MATIAS_105,13
